"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U4,U3,U1";"SOP-4_4.4x2.6mm_P1.27mm";4;"TCMT1100";;;
2;"RV4,RV3,RV2,RV1";"Potentiometer_Bourns_3266W_Vertical";4;"10k";;;
3;"R4,R3,R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"1k";;;
4;"K4,K3,K2,K1";"Relay_SPDT_Omron-G5Q-1";4;"G5Q-1";;;
5;"J6";"TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal";1;"Screw_Terminal_01x04";;;
6;"J5,J4,J3,J2";"TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal";4;"Screw_Terminal_01x03";;;
7;"D8,D7,D6,D5";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"D_Zener";;;
8;"D4,D3,D2,D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"D";;;
9;"C2,C1";"C_2312";2;"10uF_t";;;
10;"Logo1";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
11;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole";;;
12;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
13;"J1";"PinSocket_1x10_P2.54mm_Horizontal";1;"Conn_01x10_Female";;;
