Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"U2,U1",DIP-14_W7.62mm_SMDSocket_SmallPads,2,MCP6004,
2,J2,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,Aux,
3,"RV4,RV3,RV2,RV1",Potentiometer_Bourns_3266W_Vertical,4,10k,
4,R26,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,360,
5,"R25,R24",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,450,
6,"R23,R22",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,600,
7,"R21,R20",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,900,
8,"R19,R18",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,1.8 k,
9,R17,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,400,
10,"R16,R15,R14,R13",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,500,
11,"R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,12,1k,
12,J3,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,1,Q_Inch,
13,"C12,C11,C10,C9,C8,C7,C6,C5,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,9,0.1 uF,
14,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,10 uF,
15,Logo1,OSHW-Symbol_6.7x6mm_SilkScreen,1,Logo_Open_Hardware_Small,
16,"H4,H3,H2,H1",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
17,"C1,C2",C_2312,2,10uF_t,
18,A1,Arduino_Nano,1,Arduino_Nano_v3.x,
19,J1,PinSocket_1x10_P2.54mm_Horizontal,1,Conn_01x10_Female,
